Date,Store_ID,City,Product_ID,Product_Category,Units_Sold,Unit_Price,Total_Sales,Inventory_Available,Discount (%),Promotion,Holiday,Temperature
2024-01-01,S008,Mumbai,P012,Grocery,18,970.68,17472.24,228,5,No,No,34.8
2024-01-01,S008,Mumbai,P013,Sports,22,1337.82,29432.04,92,15,No,No,23.5
2024-01-01,S008,Mumbai,P004,Electronics,12,134.62,1615.44,291,5,No,No,32.3
2024-01-01,S008,Mumbai,P017,Sports,12,1705.26,20463.12,139,15,Yes,No,26.1
2024-01-01,S008,Mumbai,P016,Home Decor,17,1416.49,24080.33,163,5,Yes,No,31.3
2024-01-01,S008,Mumbai,P002,Home Decor,26,1626.61,42291.86,298,5,No,No,29.9
2024-01-01,S008,Mumbai,P019,Electronics,19,1194.26,22690.94,148,10,Yes,No,27.4
2024-01-01,S008,Mumbai,P010,Grocery,18,747.53,13455.54,239,10,Yes,No,30.1
2024-01-01,S008,Mumbai,P003,Sports,16,1505.83,24093.28,404,20,Yes,No,21.9
2024-01-01,S008,Mumbai,P020,Home Decor,27,1670.27,45097.29,391,15,No,No,25.4
2024-01-01,S009,Delhi,P011,Sports,13,1921.23,24975.99,452,5,Yes,No,21.6
2024-01-01,S009,Delhi,P016,Grocery,30,1300.49,39014.7,422,15,Yes,No,21.7
2024-01-01,S009,Delhi,P008,Fashion,21,504.18,10587.78,102,0,Yes,No,34.2
2024-01-01,S009,Delhi,P020,Sports,24,1039.4,24945.6,472,20,No,No,37.9
2024-01-01,S009,Delhi,P003,Fashion,11,1137.24,12509.64,380,20,No,No,22.1
2024-01-01,S009,Delhi,P006,Sports,22,259.8,5715.6,190,0,Yes,No,24.0
2024-01-01,S009,Delhi,P010,Fashion,19,378.55,7192.45,78,10,No,No,21.5
2024-01-01,S009,Delhi,P012,Grocery,18,1899.77,34195.86,266,5,No,No,30.7
2024-01-01,S009,Delhi,P005,Sports,18,1015.17,18273.06,413,0,Yes,No,30.1
2024-01-01,S009,Delhi,P001,Home Decor,19,311.28,5914.32,222,5,No,No,20.2
2024-01-01,S010,Chennai,P012,Electronics,20,325.75,6515.0,366,5,Yes,No,34.8
2024-01-01,S010,Chennai,P011,Home Decor,23,551.26,12678.98,240,20,Yes,No,28.6
2024-01-01,S010,Chennai,P017,Grocery,12,929.04,11148.48,107,20,Yes,No,20.2
2024-01-01,S010,Chennai,P007,Fashion,33,1793.17,59174.61,423,0,Yes,No,36.6
2024-01-01,S010,Chennai,P014,Electronics,28,1421.28,39795.84,490,10,No,No,29.4
2024-01-01,S010,Chennai,P001,Home Decor,22,963.63,21199.86,422,0,No,Yes,32.5
2024-01-01,S010,Chennai,P008,Grocery,18,1838.98,33101.64,379,15,No,No,37.1
2024-01-01,S010,Chennai,P006,Sports,26,1278.25,33234.5,57,20,Yes,No,23.1
2024-01-01,S010,Chennai,P003,Home Decor,22,535.85,11788.7,77,0,Yes,No,21.4
2024-01-01,S010,Chennai,P013,Electronics,23,688.1,15826.3,261,15,Yes,No,30.9
2024-01-02,S001,Delhi,P009,Sports,17,244.78,4161.26,439,20,No,No,37.1
2024-01-02,S001,Delhi,P002,Electronics,23,894.66,20577.18,361,5,Yes,No,35.8
2024-01-02,S001,Delhi,P016,Electronics,21,881.38,18508.98,423,0,No,Yes,34.6
2024-01-02,S001,Delhi,P014,Sports,21,1942.84,40799.64,332,20,Yes,No,30.2
2024-01-02,S001,Delhi,P006,Sports,11,354.32,3897.52,454,0,Yes,No,21.0
2024-01-02,S001,Delhi,P004,Grocery,21,1895.05,39796.05,132,10,Yes,No,24.5
2024-01-02,S001,Delhi,P005,Electronics,19,1912.7,36341.3,254,0,Yes,No,23.7
2024-01-02,S001,Delhi,P017,Grocery,26,189.1,4916.6,144,5,No,No,22.0
2024-01-02,S001,Delhi,P003,Grocery,22,1567.4,34482.8,428,10,Yes,No,25.5
2024-01-02,S001,Delhi,P015,Fashion,13,1220.92,15871.96,304,0,No,No,20.5
2024-01-02,S002,Bangalore,P004,Sports,24,1437.75,34506.0,484,15,Yes,No,36.3
2024-01-02,S002,Bangalore,P019,Grocery,21,1154.15,24237.15,484,5,No,No,36.3
2024-01-02,S002,Bangalore,P013,Home Decor,18,1588.94,28600.92,79,5,No,No,31.2
2024-01-02,S002,Bangalore,P010,Home Decor,20,972.36,19447.2,83,0,No,No,31.2
2024-01-02,S002,Bangalore,P007,Electronics,18,1201.33,21623.94,420,0,No,No,29.7
2024-01-02,S002,Bangalore,P018,Sports,19,860.57,16350.83,449,20,Yes,No,31.5
2024-01-02,S002,Bangalore,P020,Grocery,15,1803.9,27058.5,244,5,No,No,29.3
2024-01-02,S002,Bangalore,P009,Home Decor,16,755.66,12090.56,219,15,Yes,No,23.2
2024-01-02,S002,Bangalore,P016,Sports,13,975.48,12681.24,395,0,Yes,No,36.1
2024-01-02,S002,Bangalore,P002,Sports,14,711.01,9954.14,331,20,No,No,34.4
2024-01-02,S003,Bangalore,P009,Fashion,22,1759.8,38715.6,368,20,Yes,No,26.8
2024-01-02,S003,Bangalore,P011,Grocery,12,1973.89,23686.68,352,10,No,No,26.7
2024-01-02,S003,Bangalore,P010,Fashion,20,800.94,16018.8,265,10,Yes,No,33.0
2024-01-02,S003,Bangalore,P016,Electronics,11,352.92,3882.12,52,15,No,No,36.1
2024-01-02,S003,Bangalore,P002,Electronics,20,303.63,6072.6,343,15,Yes,No,29.6
2024-01-02,S003,Bangalore,P019,Sports,16,816.84,13069.44,251,0,No,No,30.2
2024-01-02,S003,Bangalore,P014,Fashion,25,1117.14,27928.5,74,15,No,No,36.0
2024-01-02,S003,Bangalore,P020,Fashion,21,1599.43,33588.03,158,15,No,No,28.6
2024-01-02,S003,Bangalore,P001,Home Decor,21,1159.71,24353.91,473,0,No,No,27.8
2024-01-02,S003,Bangalore,P018,Fashion,14,789.86,11058.04,331,10,No,No,30.9
2024-01-02,S004,Mumbai,P015,Fashion,16,727.66,11642.56,426,20,No,No,24.3
2024-01-02,S004,Mumbai,P005,Electronics,13,567.32,7375.16,53,15,Yes,No,35.3
2024-01-02,S004,Mumbai,P003,Sports,13,205.74,2674.62,186,0,Yes,No,21.4
2024-01-02,S004,Mumbai,P019,Home Decor,20,1966.52,39330.4,272,5,No,No,36.1
2024-01-02,S004,Mumbai,P013,Grocery,21,110.07,2311.47,167,20,No,No,24.6
2024-01-02,S004,Mumbai,P010,Sports,15,1865.81,27987.15,384,5,No,No,29.6
2024-01-02,S004,Mumbai,P001,Home Decor,20,489.65,9793.0,459,10,Yes,No,25.8
2024-01-02,S004,Mumbai,P016,Grocery,19,560.58,10651.02,96,0,Yes,No,32.7
2024-01-02,S004,Mumbai,P007,Home Decor,24,1061.6,25478.4,405,15,Yes,No,25.8
2024-01-02,S004,Mumbai,P009,Fashion,21,963.11,20225.31,310,10,Yes,Yes,21.1
2024-01-02,S005,Chennai,P012,Electronics,25,1394.86,34871.5,322,0,Yes,No,22.1
2024-01-02,S005,Chennai,P016,Fashion,20,1609.15,32183.0,144,5,No,No,36.7
2024-01-02,S005,Chennai,P003,Home Decor,14,1882.85,26359.9,125,10,Yes,No,26.8
2024-01-02,S005,Chennai,P004,Home Decor,28,191.38,5358.64,398,0,No,No,22.5
2024-01-02,S005,Chennai,P014,Sports,24,410.95,9862.8,262,10,Yes,Yes,23.4
2024-01-02,S005,Chennai,P013,Grocery,16,1824.95,29199.2,138,10,No,No,35.8
2024-01-02,S005,Chennai,P006,Grocery,18,934.36,16818.48,63,0,Yes,No,36.2
2024-01-02,S005,Chennai,P011,Electronics,22,933.61,20539.42,202,10,No,No,26.4
2024-01-02,S005,Chennai,P007,Sports,18,226.58,4078.44,153,10,Yes,No,31.2
2024-01-02,S005,Chennai,P019,Sports,22,364.62,8021.64,64,0,No,No,35.8
2024-01-02,S006,Delhi,P010,Home Decor,20,1188.99,23779.8,206,0,No,No,22.7
2024-01-02,S006,Delhi,P017,Grocery,17,1513.5,25729.5,303,15,Yes,No,23.7
2024-01-02,S006,Delhi,P014,Electronics,23,1533.81,35277.63,167,10,No,No,34.8
2024-01-02,S006,Delhi,P012,Electronics,14,1614.86,22608.04,310,0,Yes,No,28.8
2024-01-02,S006,Delhi,P007,Grocery,19,123.19,2340.61,164,15,No,Yes,32.5
2024-01-02,S006,Delhi,P009,Fashion,20,756.82,15136.4,60,5,No,No,37.3
2024-01-02,S006,Delhi,P006,Home Decor,18,904.83,16286.94,395,10,Yes,No,37.1
2024-01-02,S006,Delhi,P003,Fashion,15,1061.19,15917.85,160,20,Yes,No,33.1
2024-01-02,S006,Delhi,P008,Home Decor,21,1845.63,38758.23,182,20,No,No,36.6
2024-01-02,S006,Delhi,P015,Home Decor,23,1194.95,27483.85,427,15,Yes,No,21.2
2024-01-02,S007,Chennai,P006,Electronics,12,1696.84,20362.08,316,15,No,No,28.1
2024-01-02,S007,Chennai,P003,Electronics,25,1849.6,46240.0,368,0,No,No,25.6
2024-01-02,S007,Chennai,P017,Fashion,16,820.68,13130.88,358,0,No,Yes,26.0
2024-01-02,S007,Chennai,P019,Sports,24,733.65,17607.6,112,5,No,Yes,27.5
2024-01-02,S007,Chennai,P014,Electronics,19,1845.06,35056.14,177,20,No,No,24.0
2024-01-02,S007,Chennai,P020,Electronics,19,435.14,8267.66,229,0,No,No,27.5
2024-01-02,S007,Chennai,P008,Home Decor,27,1203.12,32484.24,199,5,No,No,24.0
2024-01-02,S007,Chennai,P011,Sports,16,1953.53,31256.48,410,20,No,No,22.7
2024-01-02,S007,Chennai,P002,Home Decor,19,1994.06,37887.14,98,0,Yes,No,25.4
2024-01-02,S007,Chennai,P016,Fashion,17,910.9,15485.3,489,15,No,No,36.2
2024-01-02,S008,Bangalore,P019,Sports,16,169.44,2711.04,335,10,No,No,35.1
2024-01-02,S008,Bangalore,P011,Grocery,21,1456.71,30590.91,243,5,No,No,29.6
2024-01-02,S008,Bangalore,P020,Home Decor,20,1554.18,31083.6,181,0,Yes,Yes,23.3
2024-01-02,S008,Bangalore,P008,Sports,18,1323.6,23824.8,429,15,No,No,34.4
2024-01-02,S008,Bangalore,P015,Grocery,26,1148.27,29855.02,372,10,Yes,No,24.2
2024-01-02,S008,Bangalore,P006,Fashion,22,297.81,6551.82,288,10,No,No,30.2
2024-01-02,S008,Bangalore,P010,Sports,26,1469.54,38208.04,340,0,No,No,24.4
2024-01-02,S008,Bangalore,P012,Electronics,25,1369.36,34234.0,447,10,No,No,25.3
2024-01-02,S008,Bangalore,P018,Sports,27,262.47,7086.69,200,15,Yes,No,35.3
2024-01-02,S008,Bangalore,P003,Home Decor,14,1321.56,18501.84,131,20,Yes,Yes,36.1
2024-01-02,S009,Mumbai,P005,Fashion,25,592.9,14822.5,435,5,Yes,No,26.5
2024-01-02,S009,Mumbai,P004,Fashion,18,789.24,14206.32,102,10,Yes,No,25.3
2024-01-02,S009,Mumbai,P003,Electronics,20,1619.72,32394.4,258,5,No,No,28.7
2024-01-02,S009,Mumbai,P014,Sports,20,1427.81,28556.2,330,10,No,No,24.6
2024-01-02,S009,Mumbai,P009,Home Decor,15,134.94,2024.1,195,20,No,No,29.5
2024-01-02,S009,Mumbai,P017,Fashion,25,227.63,5690.75,214,5,Yes,No,31.7
2024-01-02,S009,Mumbai,P011,Grocery,25,120.89,3022.25,76,0,No,No,36.2
2024-01-02,S009,Mumbai,P018,Grocery,26,1240.98,32265.48,358,0,Yes,No,23.2
2024-01-02,S009,Mumbai,P001,Fashion,27,827.96,22354.92,171,20,Yes,No,27.6
2024-01-02,S009,Mumbai,P006,Sports,15,1564.87,23473.05,78,15,Yes,No,27.0
2024-01-02,S010,Hyderabad,P015,Electronics,17,1466.19,24925.23,344,10,No,No,31.0
2024-01-02,S010,Hyderabad,P008,Sports,30,1912.77,57383.1,455,0,No,No,33.2
2024-01-02,S010,Hyderabad,P013,Grocery,16,598.3,9572.8,276,10,Yes,No,35.1
2024-01-02,S010,Hyderabad,P014,Grocery,15,1001.05,15015.75,122,20,No,No,21.4
2024-01-02,S010,Hyderabad,P005,Electronics,23,1407.96,32383.08,91,0,No,No,28.3
2024-01-02,S010,Hyderabad,P017,Grocery,12,104.44,1253.28,484,0,No,No,24.9
2024-01-02,S010,Hyderabad,P019,Fashion,21,274.01,5754.21,354,0,No,Yes,22.5
2024-01-02,S010,Hyderabad,P002,Fashion,30,451.75,13552.5,367,5,Yes,No,37.2
2024-01-02,S010,Hyderabad,P009,Home Decor,24,1542.17,37012.08,423,10,Yes,No,31.5
2024-01-02,S010,Hyderabad,P010,Fashion,22,198.03,4356.66,75,10,Yes,Yes,20.7
2024-01-03,S001,Chennai,P017,Grocery,15,1839.43,27591.45,319,10,No,No,22.2
2024-01-03,S001,Chennai,P018,Grocery,23,319.04,7337.92,364,20,No,No,37.0
2024-01-03,S001,Chennai,P008,Sports,20,1704.64,34092.8,451,15,Yes,No,29.4
2024-01-03,S001,Chennai,P012,Grocery,22,792.92,17444.24,157,10,No,No,22.2
2024-01-03,S001,Chennai,P006,Electronics,12,745.76,8949.12,232,0,Yes,No,27.3
2024-01-03,S001,Chennai,P013,Fashion,21,1122.96,23582.16,458,0,No,Yes,33.3
2024-01-03,S001,Chennai,P003,Sports,20,1765.66,35313.2,499,15,No,No,20.4
2024-01-03,S001,Chennai,P019,Sports,26,1761.93,45810.18,190,0,Yes,No,26.9
2024-01-03,S001,Chennai,P010,Home Decor,28,118.02,3304.56,78,0,No,No,33.8
2024-01-03,S001,Chennai,P011,Electronics,19,1292.26,24552.94,489,10,Yes,No,24.9
2024-01-03,S002,Delhi,P011,Grocery,19,739.1,14042.9,389,10,No,No,33.3
2024-01-03,S002,Delhi,P002,Fashion,16,773.78,12380.48,207,20,No,No,35.4
2024-01-03,S002,Delhi,P015,Grocery,23,626.8,14416.4,486,5,Yes,No,37.8
2024-01-03,S002,Delhi,P013,Sports,19,1391.33,26435.27,189,0,Yes,No,37.2
2024-01-03,S002,Delhi,P020,Electronics,24,1218.25,29238.0,344,0,Yes,No,35.8
2024-01-03,S002,Delhi,P009,Grocery,29,1265.48,36698.92,202,0,Yes,No,33.4
2024-01-03,S002,Delhi,P016,Grocery,11,1691.87,18610.57,359,15,No,No,30.9
2024-01-03,S002,Delhi,P004,Electronics,20,435.4,8708.0,267,10,Yes,No,20.7
2024-01-03,S002,Delhi,P001,Electronics,24,511.02,12264.48,58,0,Yes,No,36.7
2024-01-03,S002,Delhi,P019,Electronics,19,1422.44,27026.36,265,20,No,No,36.2
2024-01-03,S003,Chennai,P007,Home Decor,19,1520.96,28898.24,138,10,No,No,30.7
2024-01-03,S003,Chennai,P018,Home Decor,21,1767.18,37110.78,372,5,No,Yes,24.9
2024-01-03,S003,Chennai,P015,Grocery,20,1719.17,34383.4,219,0,No,No,34.6
2024-01-03,S003,Chennai,P004,Electronics,22,265.27,5835.94,173,10,No,No,26.7
2024-01-03,S003,Chennai,P009,Sports,17,1042.16,17716.72,86,0,No,No,24.0
2024-01-03,S003,Chennai,P014,Home Decor,22,1717.29,37780.38,89,10,Yes,No,35.9
2024-01-03,S003,Chennai,P020,Grocery,20,1185.51,23710.2,89,5,Yes,No,32.2
2024-01-03,S003,Chennai,P019,Fashion,21,1769.4,37157.4,196,15,Yes,No,35.6
2024-01-03,S003,Chennai,P003,Home Decor,16,404.76,6476.16,318,20,Yes,No,35.1
2024-01-03,S003,Chennai,P001,Home Decor,23,1275.36,29333.28,471,10,Yes,No,23.4
2024-01-03,S004,Chennai,P007,Sports,19,109.78,2085.82,209,15,Yes,No,26.0
2024-01-03,S004,Chennai,P011,Sports,23,1654.14,38045.22,255,20,Yes,No,33.6
2024-01-03,S004,Chennai,P009,Grocery,17,259.79,4416.43,204,20,No,No,37.7
2024-01-03,S004,Chennai,P002,Fashion,22,1304.61,28701.42,393,15,No,No,34.7
2024-01-03,S004,Chennai,P012,Grocery,14,135.01,1890.14,282,0,Yes,No,37.3
2024-01-03,S004,Chennai,P001,Home Decor,18,1870.85,33675.3,327,5,Yes,No,36.9
2024-01-03,S004,Chennai,P006,Electronics,23,671.83,15452.09,66,0,No,No,33.9
2024-01-03,S004,Chennai,P019,Sports,23,210.05,4831.15,169,15,No,No,20.8
2024-01-03,S004,Chennai,P017,Grocery,14,146.72,2054.08,444,10,No,No,34.8
2024-01-03,S004,Chennai,P013,Fashion,18,579.77,10435.86,75,20,Yes,No,22.9
2024-01-03,S005,Delhi,P010,Home Decor,20,294.17,5883.4,88,20,No,No,29.5
2024-01-03,S005,Delhi,P016,Home Decor,25,1695.9,42397.5,224,20,Yes,No,32.2
2024-01-03,S005,Delhi,P020,Electronics,22,1906.64,41946.08,285,0,No,No,20.6
2024-01-03,S005,Delhi,P009,Electronics,24,692.71,16625.04,107,10,No,No,36.1
2024-01-03,S005,Delhi,P007,Home Decor,16,159.15,2546.4,330,5,No,No,32.9
2024-01-03,S005,Delhi,P005,Sports,21,1132.14,23774.94,109,5,No,No,23.3
2024-01-03,S005,Delhi,P014,Home Decor,24,349.37,8384.88,230,15,No,No,36.4
2024-01-03,S005,Delhi,P019,Home Decor,33,977.98,32273.34,271,20,Yes,No,22.1
2024-01-03,S005,Delhi,P015,Fashion,14,917.58,12846.12,215,10,Yes,No,24.1
2024-01-03,S005,Delhi,P001,Grocery,15,719.26,10788.9,435,5,Yes,Yes,34.4
2024-01-03,S006,Delhi,P017,Sports,17,122.08,2075.36,323,0,Yes,No,32.2
2024-01-03,S006,Delhi,P004,Grocery,19,1471.59,27960.21,60,0,Yes,No,32.5
2024-01-03,S006,Delhi,P003,Fashion,13,1974.66,25670.58,209,10,Yes,No,20.3
2024-01-03,S006,Delhi,P010,Fashion,20,757.43,15148.6,473,10,Yes,No,20.2
2024-01-03,S006,Delhi,P006,Grocery,18,266.95,4805.1,463,5,No,Yes,20.6
2024-01-03,S006,Delhi,P016,Grocery,12,352.16,4225.92,408,0,Yes,No,23.6
2024-01-03,S006,Delhi,P007,Electronics,30,1802.82,54084.6,58,15,Yes,No,36.9
2024-01-03,S006,Delhi,P002,Home Decor,23,744.96,17134.08,300,20,Yes,Yes,28.7
2024-01-03,S006,Delhi,P005,Home Decor,22,1235.2,27174.4,71,0,Yes,No,28.1
2024-01-03,S006,Delhi,P019,Sports,22,1490.02,32780.44,61,10,No,Yes,24.4
2024-01-03,S007,Chennai,P007,Home Decor,15,516.51,7747.65,104,5,Yes,No,28.5
2024-01-03,S007,Chennai,P013,Grocery,19,407.18,7736.42,451,15,No,No,31.8
2024-01-03,S007,Chennai,P001,Electronics,18,1037.23,18670.14,461,0,Yes,No,23.6
2024-01-03,S007,Chennai,P010,Home Decor,22,158.24,3481.28,402,0,No,No,35.1
2024-01-03,S007,Chennai,P011,Grocery,19,1294.65,24598.35,269,15,No,No,26.7
2024-01-03,S007,Chennai,P004,Sports,26,933.37,24267.62,166,20,No,No,27.1
2024-01-03,S007,Chennai,P012,Grocery,21,1606.62,33739.02,344,5,Yes,No,25.0
2024-01-03,S007,Chennai,P014,Sports,21,500.26,10505.46,286,15,No,No,28.4
2024-01-03,S007,Chennai,P009,Fashion,25,1574.4,39360.0,149,0,No,No,36.4
2024-01-03,S007,Chennai,P017,Electronics,15,1945.65,29184.75,424,20,No,No,27.4
2024-01-03,S008,Mumbai,P009,Home Decor,12,285.05,3420.6,430,20,No,No,28.0
2024-01-03,S008,Mumbai,P017,Fashion,20,1226.61,24532.2,375,5,Yes,No,31.7
2024-01-03,S008,Mumbai,P004,Sports,17,1730.17,29412.89,310,20,Yes,Yes,25.9
2024-01-03,S008,Mumbai,P018,Sports,24,1942.66,46623.84,352,20,No,No,24.2
2024-01-03,S008,Mumbai,P011,Sports,26,728.69,18945.94,142,20,Yes,No,26.1
2024-01-03,S008,Mumbai,P016,Sports,25,572.56,14314.0,220,0,No,No,37.1
2024-01-03,S008,Mumbai,P001,Fashion,16,820.78,13132.48,156,10,No,Yes,33.3
2024-01-03,S008,Mumbai,P010,Sports,22,1703.92,37486.24,93,10,Yes,No,28.0
2024-01-03,S008,Mumbai,P015,Electronics,26,1125.82,29271.32,453,20,No,No,24.9
2024-01-03,S008,Mumbai,P005,Electronics,11,1879.55,20675.05,334,20,Yes,No,31.5
2024-01-03,S009,Bangalore,P005,Electronics,16,268.26,4292.16,210,0,No,No,29.1
2024-01-03,S009,Bangalore,P006,Grocery,9,1974.6,17771.4,265,15,Yes,No,32.3
2024-01-03,S009,Bangalore,P017,Fashion,16,751.04,12016.64,343,10,No,Yes,22.5
2024-01-03,S009,Bangalore,P012,Sports,23,1379.52,31728.96,390,10,Yes,Yes,21.7
2024-01-03,S009,Bangalore,P018,Electronics,22,1749.47,38488.34,135,0,No,No,24.6
2024-01-03,S009,Bangalore,P009,Sports,18,563.88,10149.84,75,15,Yes,No,35.6
2024-01-03,S009,Bangalore,P020,Electronics,21,1868.8,39244.8,351,15,No,No,36.5
